Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %,score,actual winner
loyola,198,134,0.564,0.385,0.784,4,9.94,33.63,11.69,9.31,0.301,0.918,4,1
hopkins,174,172,0.465,0.605,0.525,0.13,9.2,26.67,10.67,6.73,0.31,0.896,6,2
duke,235,151,0.549,0.5,0.673,4.67,9.44,30.89,12.67,6.17,0.347,0.872,19,2
penn st,213,171,0.584,0.415,0.515,2.63,10.88,30.44,12.94,4.94,0.353,0.87,8,2
towson,162,130,0.573,0.364,0.638,1.88,7.88,26.71,11.47,7.12,0.254,0.887,12,2
syracuse,193,161,0.528,0.5,0.66,2,9.94,28.06,10.88,6,0.322,0.919,11,1
yale,207,165,0.605,0.171,0.533,2.63,9.38,32.31,12.06,5.56,0.314,0.877,10,1
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903,18,1
albany,277,171,0.686,0.358,0.829,5.89,10.67,33.28,13.67,6.06,0.344,0.892,9,1
Denver,229,149,0.723,0.456,0.568,4.71,8.29,30.18,11.76,,0.348,0.876,16,1
notre Dame,158,147,0.437,0.283,0.55,0.73,10.27,26.33,12.47,7.2,0.319,0.861,4,1
towson,162,130,0.573,0.364,0.638,1.88,7.88,26.71,11.47,7.12,0.254,0.887,10,1
syracuse,193,161,0.528,0.5,0.66,2,9.94,28.06,10.88,6,0.322,0.919,7,1
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87,16,1
duke,235,151,0.549,0.5,0.673,4.67,9.44,30.89,12.67,6.17,0.347,0.872,11,1
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903,9,1
Denver,229,149,0.723,0.456,0.568,4.71,8.29,30.18,11.76,,0.348,0.876,8,1
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87,11,1
towson,162,130,0.573,0.364,0.638,1.88,7.88,26.71,11.47,7.12,0.254,0.887,10,1
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903,9,1
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87,6,1
maryland,210,170,0.528,0.568,0.784,2.22,10.39,26.17,9.83,4.89,0.353,0.891,14,1
robert morris,208,144,0.412,0.429,0.771,3.56,11,28.11,13.44,9.39,0.339,0.91,11,1
syracuse,169,160,0.482,0.381,0.642,0.6,9.4,30.47,12.4,7.93,0.328,0.857,9,2
cornell,244,166,0.443,0.375,0.661,4.33,11.56,28.83,11.39,7.11,0.389,0.86,10,2
johns hopkins,199,165,0.524,0.355,0.68,2,9.88,27,10.88,5.59,0.294,0.897,10,1
georgetown,188,138,0.487,0.372,0.718,2.94,9.76,26.06,11.65,7.18,0.333,0.911,9,1
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,17,1
vilanova,172,182,0.426,0.439,0.569,-0.63,9.56,25.13,10.31,5.75,0.269,0.9,11,1
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,15,1
umass,197,170,0.567,0.361,0.683,1.59,11.82,28.88,13.59,7.94,0.309,0.887,13,1
Loyola,223,148,0.426,0.255,0.69,4.41,10,30.88,12.24,9.65,0.351,0.868,14,1
Virginia,227,206,0.577,0.382,0.676,1.17,10.61,38,14.83,8.28,0.321,0.849,12,1
Notre Dame,151,129,0.526,0.315,0.611,1.47,,27.27,13.67,5.73,0.307,0.919,7,2
Denver,193,134,0.738,0.512,0.556,3.47,,26.71,11.82,4.88,0.328,0.882,9,2
albany,274,164,0.769,0.375,0.609,5.79,10.47,33.26,12.42,5.68,0.326,0.918,18,1
richmond,181,178,0.417,0.44,0.725,0.18,9.76,26.94,12.76,7.06,0.304,0.92,9,1
maryland,210,170,0.528,0.568,0.784,2.22,10.39,26.17,9.83,4.89,0.353,0.891,13,1
cornell,244,166,0.443,0.375,0.661,4.33,11.56,28.83,11.39,7.11,0.389,0.86,8,1
johns hopkins,199,165,0.524,0.355,0.68,2,9.88,27,10.88,5.59,0.294,0.897,9,2
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,14,2
Denver,193,134,0.738,0.512,0.556,3.47,,26.71,11.82,4.88,0.328,0.882,13,2
albany,274,164,0.769,0.375,0.609,5.79,10.47,33.26,12.42,5.68,0.326,0.918,15,2
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,8,1
Loyola,223,148,0.426,0.255,0.69,4.41,10,30.88,12.24,9.65,0.351,0.868,5,1
maryland,210,170,0.528,0.568,0.784,2.22,10.39,26.17,9.83,4.89,0.353,0.891,8,2
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,13,2
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,20,1
albany,274,164,0.769,0.375,0.609,5.79,10.47,33.26,12.42,5.68,0.326,0.918,11,1
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,11,2
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,13,2
